Title,Category Name,Experience,Sub Category Name,Currency,Budget,Location,Freelancer Preferred From,Type,Date Posted,Description,Duration,Client Registration Date,Client City,Client Country,Client Currency,Client Job Title
Fix small problems in WordPress theme.,Technology & Programming,Entry ($),Website Development,GBP,15.0,remote,ALL,fixed_price,2023-01-26 02:54:12,"I have a WP installation running on https://petitpoi.net with a Wabi theme that has been modified.

I need help with:
1. Fixing the appearance of backgrounds of featured images which broke with some update. Used to be as in A, now displays as B. I'm not concerned with the rounded corners.
2. Extend the 'notch' which is implemented in some templates (D) but not others (C).

I can supply the child theme. There are multiple template clones which use the same design.",,2019-11-27,Nottingham,United Kingdom,GBP,
Strategy to transform organisation during Migrating to AWS,Technology & Programming,Intermediate ($$),Data Science & Analysis,GBP,300.0,remote,ALL,fixed_price,2023-01-26 02:54:21,"Enhancing a current draft with greater detail of transformation, the governance of a migration

A Step by step guide to enable an Enterprise Migration to be initiated, launched, executed, tracked to completion. ",,2021-03-06,London,United Kingdom,GBP,
Graphic design to promote a valentines campaign ,Design,Entry ($),Graphic Design,GBP,30.0,remote,ALL,fixed_price,2023-01-26 02:54:17,"We are dental practice looking for a graphic designer
to create 3 items for a valentines tooth whitening promotion.

1- a poster which we can print in varying sizes.
2- a small folded card (like a greeting card) which has the promotional information to give to patients (like a gift voucher)
3- a poster image for a tv screen with the same promotional information on

As they are all for the same campaign I would like the imagery and look to be synonymous but with a slight variation in each.
Along the theme of valentines and love but keeping it professional as we are a dental practice.

We can use our existing logo within this design.

We have a neutral colour scheme but can add in any red/pink as it is seasonal while maintaining the sleek professional look",,2023-01-22,Bradford,United Kingdom,GBP,
Seo writing ,Writing & Translation,Expert ($$$),Content Writing,GBP,88.0,remote,ALL,fixed_price,2023-01-26 03:09:02,"


We're looking for a talented writer, who can help us write content on our collection pages, and other pages of our website, for SEO Purposes. We have hundreds of collections, brand pages, and blog needs, which all need a good amount of seo content writing. Perfect English required Ability",,2023-01-25,London,United Kingdom,GBP,
Breathing Circle For FCPX Timeline,Design,Entry ($),Graphic Design,GBP,30.0,remote,ALL,fixed_price,2023-01-26 02:56:07,"We need an animated ""breathing circle"" that can be dropped onto a Final Cut timeline when editing our sleep, meditation and focus tracks.

Examples;
>> https://www.youtube.com/watch?v=RqoZEa7m3p4

>> https://www.youtube.com/watch?v=xsfyb1pStdw

>> https://www.youtube.com/watch?v=aNXKjGFUlMs

>> https://www.youtube.com/watch?v=bF_1ZiFta-E

We'd like it designed in various colours, as per the examples. So we can use the variations throughout our videos.

The duration needs to be 5 minutes in total. 5 secs in, 5 secs hold, 5 secs out, 5 secs hold - repeat.

At the beginning, it would be great to have words roll through the circle saying;

""Welcome. It's time to relax, unwind and prepare your mind and body for a night of deep sleep. Follow the breathing prompts in the circle.""

""Welcome. It's time for some focused and productive work. Take a moment to centre your mind, by following the breathing prompts in the circle.""

Welcome. It's time to meditate. Follow the breathing prompts in the circle to prepare for a deep and relaxing session.""

All three variations of the ""welcome"" statement will also require a variance of colours mentioned above.

Many thanks,
Rich & Elaine",less than 1 week,2016-12-06,Malton,United Kingdom,GBP,"Personal Trainer, Entrepreneur & Creative Writer"
"Simple landing page clean code HTML, CSS, JS",Technology & Programming,Entry ($),Website Development,GBP,50.0,remote,ALL,fixed_price,2023-01-26 02:57:23,"The page code should be created in 1 day. We are rewriting the code for our website to make it cleaner and more readable. So the page should be recreated in pure html/css/js. No frameworks (no bootstrap, no jquery). JS required for the mobile navigation only. Simple header (leftside logo, rightside navigation), 4 content blocks and footer. I will send the design by request.",,2013-08-07,City of London,United Kingdom,GBP,Web Developer
I need a graphic design assistant ,Design,Expert ($$$),Graphic Design,USD,20.0,remote,ALL,fixed_price,2023-01-26 03:07:17,"I need someone to be closely work with in long term. I am a graphic designer and I need an assistant. Everyday I get a lot of projects and I cannot deliver all of them by myself. I also work full time in a day job so I need someone to cover for me while I’m busy with my day job. 

Preferably in Asia time zone so we can connect with similar time. Must have access to Adobe Illustrator and Photoshop and proficient with it. Small training can be provided if necessary. 

This price set is for two sample projects so I can test your ability if you have the same style as me. Please also send your portfolio so I can screen applicants before proceeding. 

Please also send me your rates. We can further discuss price rates once selected. Work is by project base. If you have any more questions let me know. ",,2020-04-06,Cebu City,Philippines,USD,Graphic Designer and Illustrator
Virtual Assistant,Business,Entry ($),Administration Assistance,GBP,13.0,remote_country,GB,hourly,2023-01-26 02:57:52,"Hello,

I am looking for a virtual personal assistant for 2 hours per week on an ongoing basis. I operate a small recruitment business, am launching a celebrant service and also consult.

The work will be a mix of:
-Small business administrative tasks
- Some bookkeeping and receipt management
- Property research
- Recruitment administration
- Personal admin for myself and partner- reservations, travel etc/ diary management
- Social media management (ad hoc at best)
- ad hoc administration

I'm looking to begin using Asana and ideally will add you to projects to keep a track of tasks and deadlines etc.

If interested please let me know. 

Alysha
",Ongoing,2016-01-15,New Malden,United Kingdom,GBP,
Vector transparent coat of arms style logo & banner for blog,Design,Expert ($$$),Logo Design,USD,125.0,remote,ALL,fixed_price,2023-01-26 02:58:09,"Hi, I am a handicapped blogger and I run a Wix generated blog called The Gimp Chronicles, which is just my thoughts and take on life as a handicapped person on Vancouver Island, in Canada. I am looking for someone to please create a Vector, professional, hand drawn, copyright claim free coat of arms logo for my blog that incorporates the Welsh flag, the Canadian flag and the handicapped sign. More details to come.

Thank you.


Chris",Not sure,2023-01-25,Sooke,Canada,USD,
Need a new website developed ,Design,Expert ($$$),Web Design,USD,500.0,remote,ALL,fixed_price,2023-01-26 02:59:43,"I need a website developed. Mobile friendly and seo friendly etc..Needs to be very futuristic as its a metaverse site with latest tech look ideas. Will have the usual pages like about us, contact us etc, and also a page where we take payment via crypto. For this we need a login page for users to view there payment etc…. Need it up and running within 2/3weeks max. I will provide domain name and server ",,2023-01-25,London,United Kingdom,GBP,
Convert .dwg to a pdf,Design,Entry ($),Interior/Exterior Design,USD,15.0,remote,ALL,fixed_price,2023-01-26 02:58:29,I need the attached converted to a 36x48 pdf,,2018-02-27,Hallettsville,United States,USD,Vice President
Blog Writers: Legal Website / Law Firm Content ,Writing & Translation,Entry ($),Content Writing,GBP,60.0,remote_country,GB,fixed_price,2023-01-25 20:59:16,"I am looking for a good content writer (s) to create regular blogs  or content pages for a website related to Probate.  The website is www.the-probate-network.co.uk

The requirement will mainly be for topical blogs to cover all areas of Probate that will need to be legally / technically / factually correct.  Some will be advice articles (which will be checked by a legal professional) others just sector specific news content. On occassion, we require a case study write up based on information provided by the client.  

Content ideas will be a combination of your inspiration and mine and will need to be approximately 500 words long.  

To be considered I will need to see samples of work and legal or probate experience would be ideal. Good clear use of the english language which is gramatically correct is essential. All work will be checked against a plagiarism checker as the content will be used in both social media and to support SEO strategy so ALL content needs to be unique. ",Ongoing,2021-09-24,Cricklewood,United Kingdom,GBP,
Male VO with American accent - deep voice 15 sec commercial,Music & Audio,Entry ($),Voice-Over,USD,40.0,remote,ALL,fixed_price,2023-01-25 20:59:16,"I have a 15 sec spot that I need asap.  It is for a not for profit group doing a short run.
 Here is the narration:

""Crime Alert Berks is offering a ten-thousand-dollar cash reward for tips leading to the arrest of Luis Alberto Madara Pacheco (pa-CHECK-o). Text Alert Berks to 847411, or call Crime Alert Berks at 877-373-9913.""

  Please let me know if you can do this today or by early tomorrow.
",,2016-09-08,Reading,United States,USD,Producer
MBA Course assignments ,Writing & Translation,Expert ($$$),Research Writing,USD,999.0,remote,ALL,hourly,2023-01-25 20:42:43,"Hi 

I am looking for someone who can do my university assignments 

Course is MBA - online

Contact me only if you are confident to do my assignment as i have been failed previously due to choosing incompetent individual. 

No agencies please

Thanks",,2022-06-03,Telford,United Kingdom,GBP,
I need a small website designing,Design,Expert ($$$),Web Design,GBP,81.0,remote,ALL,fixed_price,2023-01-25 20:34:13,"I am a newly formed marketing company and I require a 3 or 4-page basic website designing.

The URL etc has been secured so if you could get in touch with rough estimates or questions that would be great.

Cheers

Neil




",,2022-10-03,London,United Kingdom,GBP,
Create a dropshipping/ eccommerce  website,Design,Intermediate ($$),Web Design,USD,85.0,remote,ALL,fixed_price,2023-01-25 20:24:25,"I use WordPress with Hostinger  I need my current website rebuilt   worldlouisa.com    .. I want my products to come from Rakuten -- if there is a way to make it automated, that would be awesome, but I want something that Looks good, has great products, seo/tags and meta descriptions--",,2021-01-31,Jonesboro,United States,USD,
Site plans required for events spaces.,Design,Entry ($),Computer-Aided Design (CAD),GBP,31.0,remote,ALL,fixed_price,2023-01-25 20:24:25,"I need a CAD Designer to create site plans for Planning Permission and Building Regulations drawings for local authorities.  The plans are for a sports field so space planning experience will be a bonus.
Please provide examples of similar work if applying.
No time wasters please. 
",1 day or less,2019-03-25,Oxford,United Kingdom,GBP,
Building an Online fitness buisness,Business,Expert ($$$),Consulting,GBP,200.0,remote,ALL,fixed_price,2023-01-25 20:04:46,"Looking for someone who has a proven record in building a profitable online fitness business to support me in building my own 

-You must have at least 5-10 years of experience working in and amongst the fitness industry

-must provide examples of success
-good communication and written skills
-can actually mentor and provide a proper plan of action
-is open to making additional money based on targets being set
-potential business partner too if we align",,2013-09-02,London,United Kingdom,GBP,
Domicillary Care and Supported living ,"Marketing, Branding & Sales",Expert ($$$),Sales & Calls,GBP,110.0,remote,ALL,fixed_price,2023-01-25 19:57:05,"I need  someone to contact the Council  on the Contract we already have for Domicillary Care and Supported living  and built some  clients  for the Company.

Knowledge in Healthcare is important ",,2021-03-10,London,United Kingdom,GBP,
I need an Excel file converted into a Google Sheets file,Technology & Programming,Entry ($),Data Science & Analysis,GBP,15.0,remote,ALL,fixed_price,2023-01-25 19:56:14,"I have an Excel file which analyses UK real estate deals and I need it to be converted into a Google Sheets file. The new Google Sheets file must be fully functional and editable with all the same columns, cells, formulas, colours etc as the current Excel file.

I hate Excel so I need the new file to be functional and easy to use as a Google Sheets file. I must be able to open and edit it easily and be able to have the analyser give me the correct outputs when numbers are plugged in.


Thanks",,2021-08-07,Bournemouth,United Kingdom,GBP,
Pattern illustrator Wanted,Design,Expert ($$$),Illustration & Drawing,USD,160.0,remote,ALL,fixed_price,2023-01-25 19:38:52,"Hi! I have a textile and wallpaper line and I am looking for a hand illustrator who can then refine pattern digitally. 
If interested please message me. I pay by project.

Thank you!
Paula",,2017-09-13,Roosevelt,United States,USD,
Service Brochure update ,Design,Expert ($$$),Graphic Design,GBP,80.0,remote,ALL,fixed_price,2023-01-25 19:17:22,"I am  looking for a designer to update certain sections of our 2023 Service Calendar using the original InDesign files from the  penultimate year. We are looking for someone who can use the design we had developed for our 2020 brochure and do some minor design changes if necessary. (We would supply you with the InDesign files of the brochure). You can find link to our 2022 brochure :
https://thegtcgroup.com/res/The_GTC_Group_Brochure_2021_2022.pdf

Key sections to be updated include the following:
Cover and welcome page image to be changed and updated .
Calendar page changed and updated 
Paginations/pages updated 

All other sections in the Brochure will remain unchanged 



 ",,2017-04-16,Surrey,United Kingdom,GBP,
Week People Schedule Hours working and month payroll,Technology & Programming,Entry ($),Data Science & Analysis,EUR,7.0,remote,ALL,fixed_price,2023-01-25 18:54:17,"Hallo,
i need an excel expert to do a Hours planner and a monthly hours report for payroll, i've got all different ecel pages that need to be merge in one easy file that cn be done weekly.
i need also with the same page a sheet generator only with actualy weekly hours",less than 1 week,2015-09-14,Modena,Italy,EUR,Web Proposal
Create a collection of designs ready for print,Design,Expert ($$$),Fashion & Clothing,GBP,125.0,remote,ALL,fixed_price,2023-01-25 18:48:17,"Hi All,

Thank you for clicking on my project! Please find below a description of the job.

I am looking for a graphic designer or someone who is familiar with creating graphics for print. You will also preferably have tech pack experience to avoid having to use multiple freelancers but this is not a must.

Brief:

T-shirts (both slogan and basic graphics)
Hoodies (both slogan and basic graphics)
Tracksuits (slogan)

I already have the ideas, logo, and examples I can share. 

Previous experience of designing graphics/designs is a must to avoid delays and complications. 

Any questions, please ask.

Kind regards,
Abdi ",,2023-01-25,Bromley,United Kingdom,GBP,
3 editing photo ,"Video, Photo & Image",Expert ($$$),Image Editing,EUR,100.0,remote,ALL,fixed_price,2023-01-25 18:36:26,"Hello

I would like you to remove the background from my 3 photos that I will put below

It will help me to advance my project

Thank you",,2022-12-19,Tours,France,EUR,Marketing Strategist
"Linkedin, facebook ,google maps , Binge maps web scraping",Technology & Programming,Intermediate ($$),Databases,USD,259.0,remote,ALL,fixed_price,2023-01-25 18:18:37,"Looking for someone to do,Linkedin web scraping, facebook web scraping,google maps web scraping , Binge maps web scraping . 4 excel sheets as attached are there whereby automated web extraction / data extraction using various tools that they have . Linkedin , facebook , google maps have various restrictions whereby you can get blocked if too may entries extracted at one point so you need to navigate and find a way around the same . Project just does not include providing a software to do the same but involves completed the whole work and submitting the final sheets .If person is only specialising in linkedin data extraction then he could opt for Linkedin whereby work will be continuous throughout year . Plenty of free and paid softwares in the market for Linked data extraction , facebook data extraction ,Google maps data extraction , binge maps data extraction .  ",,2022-04-13,Mumbai,India,USD,
Help setting up Google AdWords PPC,Digital Marketing,Entry ($),"SEM, Adwords & PPC",EUR,30.0,remote,ALL,fixed_price,2023-01-25 18:04:12,"I require help to setup a Google AdWords PPC advertisement.
Screen share required
Immediate start required.",,2020-02-03,Marbella,Spain,EUR,
CGI images 3D visualisation,Design,Intermediate ($$),3D Design,GBP,120.0,remote,ALL,fixed_price,2023-01-25 18:03:29,"I need 4 images of the proposed house from a different agles showing the extended house will have on its surroundings. I will provide photoes of the surrounding and the house has to be modeled in using the 2D plans which are attached. 
It is a semidetached house so first image will need to show how the house will look directly from the front and then 2 images from the street angle and 1 image from the above it will be a photo taken by a drone. 

To clarify the house will not be needing to be visualise on its own it needs o be part of a photo to show how the house will look with other properties around it.",,2015-11-23,Cricklade,United Kingdom,GBP,
I need a website design with e commerce functionalities ,Design,Intermediate ($$),Web Design,GBP,75.0,remote,ALL,fixed_price,2023-01-25 18:01:39,"I need a website designer that can embed e commerce functionalities so that I can create and sell online courses, blog posts , have podcasts, , online contact form . I am an educator who focuses on the development of critical thinking in the context of language and communication. My target audience is primary school children all the way up to adults.",1 - 2 weeks,2023-01-25,Reading,United Kingdom,GBP,
Full-Stack Developer for Multivendor Digital Store,Technology & Programming,Expert ($$$),Website Development,USD,500.0,remote,ALL,fixed_price,2023-01-25 17:31:20,"I am looking for an experienced full-stack developer to help us build a multivendor digital store. The store will be similar to Flaticon.com, Iconfinder.com, and Iconscout.com, with the main feature being an icon editor and the ability to offer both free and premium plans. The store will also have an ""available styles"" section and the ability to filter by popular and recent icons. There will be an author section and an author dashboard for vendors to manage their products.

The technology stack for the project will include React.js + Next.js for the frontend, Node.js with MojoDB for the backend, and a CMS for managing the content. The frontend design will be built with either Bootstrap or Tailwind.

The successful candidate will have strong experience with React.js, Node.js, and database development, as well as experience with building scalable e-commerce platforms. If you have a portfolio of relevant projects, please include it with your application.

We are excited to work with a talented developer to bring this project to life!",,2012-09-14,Islamabad,Pakistan,USD,"Logo Designer, Creative Logo, Beautiful Logo"
End of year accounts for micro entity /dormant ,Business,Entry ($),Finance & Accounting,GBP,100.0,remote,ALL,fixed_price,2023-01-25 17:24:21,I started a Ltd in Sep 2021 but didn’t really get it running. There is about 50 transactions on the bank statement with the last transaction in Sep 2022. I am looking for an accountant to help me with the required submissions to hmrc and companies house for the company to then become dormant. The bank account is still open with £60 within. ,,2023-01-25,Liverpool,United Kingdom,GBP,
Winetrading Company,Design,Entry ($),Logo Design,EUR,40.0,remote,ALL,fixed_price,2023-01-25 17:23:38,"We have just established our Winetrading Company called Domaine 1792.

The date is historical and reflects the age of the property where the winetrading activities are installed.

We need a serious logo, which refelcts the seriousity of our wine business as we are trading high quality wines on achievable prices.

Please show your ideas and hopefully we can continue. 

Please dont send any standarized offers, like: I can do the job and so on. I am bored about that, Be precise with what you offer and show references which are comparable to the style you will create the logo or send a first draft.

A more precise you are offering as easier and faster i can decide.


   ",,2021-05-21,Inca,Spain,EUR,
"Web app crashing, can you help?  Java/Spring ",Technology & Programming,Expert ($$$),Website Development,GBP,250.0,remote,ALL,fixed_price,2023-01-25 16:58:38,"We have developed a simple web app in JAVA, but there seems to be a bug so the server keeps crashing even with only a single user. Would you be able to assist us? The web site is here: https://x-raydar.info/online. Registered users can upload and manage images, which are then processed using our API (fully tested and working). The web site is locally hosted. I attach the exception. We use MariaDB. ",,2012-01-09,City of London,United Kingdom,GBP,Professor
GoDaddy consultant needed,Technology & Programming,Intermediate ($$),Website Development,GBP,25.0,remote,ALL,hourly,2023-01-25 16:54:51,"Hi All,

Firstly - please make reference to this specific project if you are able to help.  I do get a lot of replies when I post projects so tend to ignore them unless I can deduce that they have read what was posted.  Secondly, I need a good communicator - I'm an older guy and struggle with strong accents.

Right - the project ..... I've recently moved to GoDaddy Hosting for a few domains I manage.  There is nothing clever about any of it - simple website hosting and email.  I find the GoDaddy management back end difficult and many things don't see to make sense to me. I suspect I've not set things up well or that there are better was of working.

I dont know if I need anything 'done' but I would like someone to check through the site for/with me and help me understand what I need to do.  I use teamviewer and an hour using that might be perfect.   ",,2017-01-30,Devizes,United Kingdom,GBP,
Customer Service Representative,"Marketing, Branding & Sales",Entry ($),Mystery Shopping,EUR,100.0,remote_country,US,fixed_price,2023-01-25 16:47:40,"Needs to hire 10 Freelancers
• This is a work from home job position.
• You will be provided with a script, VoIP softphone and full support from our side.
• You will be paid per call made, sometimes it requires 5 minutes per call, sometimes 20 minutes.
• The calls can be made from Monday-Friday during US business hours. (9AM-9PM EST)

Required: Must be a United States citizen.",1 - 6 months,2022-05-18,Kumanovo,North Macedonia,USD,
Graphic Designer | eCommerce | Amazon | Wayfair,Design,Entry ($),Graphic Design,GBP,55.0,remote,ALL,fixed_price,2023-01-25 16:43:28,"We are seeking a skilled and experienced graphic designer to create visually stunning and effective content for our Amazon listings. The ideal candidate will have a strong portfolio of work, including examples of previous designs created for Amazon or e-commerce platforms.",,2023-01-25,London,United Kingdom,GBP,Design
3D Character Animated Logo Design,Design,Expert ($$$),3D Design,USD,700.0,remote,ALL,fixed_price,2023-01-25 16:33:35,"Attention all 3D animators! We are a new film post production studio in search of a talented individual to create a catchy and funky 3D character for our logo, and rig and animate it for a length of 5-7 seconds. If you are interested in this freelance opportunity, please contact us for more information!!",,2016-11-25,Beirut,Lebanon,USD,
I need a series of graphics redrawn ,Design,Expert ($$$),Illustration & Drawing,GBP,88.0,remote,ALL,fixed_price,2023-01-25 16:20:53,"Hi, 

I am looking for a graphic designer/illustrator who ca redraw a series of graphics, graphs, charts and tables so that they are all the same design style and branding, in line with our brand, for an online education course. 

Examples are here: https://drive.google.com/drive/folders/1GZvAhRQcWFYNd4cmKpFc9R5nV3ri1LUr?usp=sharing

There are approx 30 graphics in total.

Delivery of the first 12 before 5th February, with the remaining due after. 

Please quote for delivery of all graphics and include examples of relevant similar work. 

Many thanks

Ellie",,2015-10-06,London,United Kingdom,GBP,Director/Producer
Shopify Store Redesign,Technology & Programming,Expert ($$$),Website Development,GBP,5000.0,remote,ALL,fixed_price,2023-01-25 16:20:36,"Established shopify store (www.willies.co.uk) looking to improve UX, mobile performance, better loading speeds and general design of our website.

We have a large catalogue of products and are looking to reduce the number of third party apps used on our site. We may require full custom setup, including theme customizations, visual design and non-standard features to support this. 

We like the functionality of the XTRA and EMPIRE theme but are open to other suggestions that will give us a better performing website. Please provide suggestions and reasons why you believe a theme/ customisation you are able to provide may be suitable.

Please do not send generic/ template response as these will be ignored. We are looking for an experienced developer to really produce something special using our existing website as a framework.",3 - 4 weeks,2022-10-17,Banbury,United Kingdom,GBP,
Character Design for online education course,Design,Expert ($$$),Illustration & Drawing,GBP,88.0,remote,ALL,fixed_price,2023-01-25 16:28:17,"Hi,

I am looking for a graphic designer/artist who can create a fun character for an online education course. 

The character should be non-human (either a shape or creature/animal/alien), and ideally related to the environment/sustainability (planet, earth, recycling, a plastic bottle, eco/green, eco-warrior or similar).

I am very happy to discuss/develop the character with the artist. 

Please send quotes for the delivery of approximately:

- 35 static poses
- 10 emotions (please quote for either static or animated emotion gifs)

Delivery deadline is 5th February for the first batch of approx 22 poses and 10 gifs, and later for the remaining poses. 

Poses include:

Before Feb 5th:

-being part of a team
-being an eco warrior or citizen scientist
-being a 'scientist'
-discussing in a group
-Doing an Audit
-collecting trash
-saving money
-sweeping the streets
-reflecting
-cool tech / tech nerd
-I have a question!
-My Scribble Space
-Quiz time
-littering! (naughty!)
-throwing trash in the bin
-being a role-model/influencer
-counting beans
-buried under a pile of beans
-waiting patiently
-making choices
-reading a newspaper
-walking along a transect

Emotions include (could be static or gifs):
angry	
hopeful	
bewildered	
confused	
sad	
curious	
happy	
determined	
surprised	
thoughtful

after Feb 5th:

-ready to go!
-having an idea
-searching with a magnifying glass
-being safe! safety first
-declaring I am prepared
-buried under piles of trash
-investigating a murder
-eating an icecream 
-shouting a message through a megaphone
-telling a story (eg reading a book)
-being an artist
-having a conversation
-listening intently


Please also include relevant examples of your work.

Many thanks

Ellie


",,2015-10-06,London,United Kingdom,GBP,Director/Producer
Shopify Store Redesign.,Technology & Programming,Expert ($$$),Website Development,GBP,5000.0,remote,ALL,fixed_price,2023-01-25 16:11:41,"Established shopify store looking to improve UX, mobile performance, better loading speeds and general design of our website.

We have a large catalogue of products and are looking to reduce the number of third party apps used on our site. We may require full custom setup, including theme customizations, visual design and non-standard features to support this. 

We like the functionality of the XTRA and EMPIRE theme but are open to other suggestions that will give us a better performing website. Please provide suggestions and reasons why you believe a theme/ customisation you are able to provide may be suitable.",3 - 4 weeks,2022-10-17,Banbury,United Kingdom,GBP,
Translation into Dutch - Various documents 15 Pages ,Writing & Translation,Intermediate ($$),Translation,GBP,85.0,remote,ALL,fixed_price,2023-01-25 16:11:41,"we need to translate various documents into English from Dutch - in total 15 pages, wordcount is likely to be 4000 words within next 3 days - ",less than 1 week,2012-10-20,Bristol,United Kingdom,GBP,Operations Manager Language Services UK Limited
Clo 3D Pinafore,Design,Entry ($),3D Design,GBP,30.0,remote,ALL,fixed_price,2023-01-25 16:11:05,I need a Clo 3D garment creating of a pinafore dress. Images and size chart can be provided. This is for an avatar that is 9 years old. ,,2022-11-22,Lathbury,United Kingdom,GBP,
Design 3d anthropomorphic /Statue ,Design,Expert ($$$),3D Design,USD,200.0,remote,ALL,fixed_price,2023-01-25 16:11:05,"Hi 
I'm looking to produce a anthropomorphic /Statue physically but looking for proper design and Dimension in order to give it for production . 

Images and concept is ready I found in internet and I have done some adjustment just to finalize the concept . 

I want now to design exactly the statue with proper height and width putting in mind ratio level . the statue height should be 2.4 metre and all details need to be considered from the Diamond , the difference in width in different spots from bottom until the top . 4 sides view

i need this asap and expert to put all the details with measurements so I can send it to production ",1 day or less,2016-09-05,Bayan,Kuwait,USD,Chief Technology Officer
Approved Wikipedia Creation,"Marketing, Branding & Sales",Entry ($),Branding,GBP,50.0,remote,ALL,fixed_price,2023-01-25 16:17:51,I need a Wikipedia specialist to CREATE an APPROVED WIKIPEDIA Page. Must be able to show proof of previous work created for clients and references if required. ONLY satisfactory work would be approved. ,,2020-09-17,Milton Keynes,United Kingdom,GBP,
I have professional web designer.,Design,Entry ($),Web Design,USD,50.0,remote,ALL,fixed_price,2023-01-25 16:17:21,"I need a web designer costumer . I have experience for webc design through Html,css javascripit ,Sass, Fronted and backend server design.I have Logo design free include the web project.",,2019-12-15,Lahore,Pakistan,USD,web developer
Adjustment of plugin WP-CRM System in Wordpress,Technology & Programming,Expert ($$$),Programming & Coding,EUR,26.0,remote,ALL,hourly,2023-01-25 15:34:05,"Hi!
I have bought this plugin WP-CRM System but the developer doesn't make this adjustments for us.
I need to move a field in main mask a setting like required.
I also need to hide other menu or botton link
this video show adjustments. https://www.awesomescreenshot.com/video/14270477?key=362bb39bdff1ad3cb6f98a54f881a397

This plugin (WP-CRM System) allows you to store master data in WP by a user authorized to do so. 
For this reason they are in restricted areas where they can only add or edit their users (this is already working)

If not possible to make this adjustment, just create a similar plugin, which allows you to store a personal data with specific fields in WP",,2018-11-15,Livorno,Italy,EUR,Industrial designer
Retouching image of factory,"Video, Photo & Image",Entry ($),Image Editing,GBP,25.0,remote,ALL,fixed_price,2023-01-25 15:34:05,"I am looking for some help to retouch the attached image. I would like to:

Change the blue door to white
Clean up the white wall on the front right
Get rid of the power lines at the top of the image
Erase the shadow of old lettering which can be seen on the corrugated section of the roof

The finished image will be used in powerpoint presentations so doesn't need to be of the very highest quality.

Required for Friday 27th January.",,2020-12-01,Fleetwood,United Kingdom,GBP,
Database scraping,Technology & Programming,Expert ($$$),Databases,EUR,600.0,remote,ALL,fixed_price,2023-01-25 16:00:47,We need to get scraped 2 databases with connection of data points under certain parameters. We will need to get extraction of the determined data points and format into our excel template. There are a total of 200k entry points that need to be extracted. The project needs to be finalised by no later than 31st of January.,,2018-08-02,Palma,Spain,EUR,"Regional Director International Market Place Souq.com, Amazon Company"
Guest Posts for Lawyer Website,Digital Marketing,Expert ($$$),SEO,USD,600.0,remote,ALL,fixed_price,2023-01-25 15:34:05,"Hi - 

I am looking for someone for guest post outreach and execution. 

The articles would need to focus on workers' compensation, disability, and auto accident law.

The websites would need to have DA of 40 or more and at least 1,000 new visitors per month.

I would prefer legal websites (law firms, etc.). 

Looking for three to five links total. ",,2017-05-24,Richmond,United States,USD,
Advert Feature Added,Technology & Programming,Expert ($$$),CMS Development,GBP,215.0,remote,ALL,fixed_price,2023-01-25 15:34:05,"Add Advert Feature to Custom CMS

The website is based on a custom CMS mainly PHP and MySQL.

Your task would be as follows:

Adapt the registration page so that it will include anyone who can register.
The lost password was checked to see if still working.

In the dashboard, the registered user will only be able to view their own profile and a list of their adverts posted.

In Dashboard users can:
Add an advert.
Edit advert
Delete advert

They can post multiple adverts.

Adverts will be pending until the admin can click publish
Admin will have a page listing all adverts and be able to manage them.
Similar pages on this site allow admins to view all dogs and show, etc. 

The advert is based around dog studs and will include the following:
Type advert (Stud Available, Stud Wanted)
Advert Title
Price of Stud which can be hidden
Photos of stud dog (three)
Video Link
Dog Names are already stored on the CMS under the dog show results system.
Add Dog if not in DB
Contents (description of advert)
Contact details show from the registered user (tel, email)

Page on the website anyone can view:
Display list of all studs 9 per page three in a row.
When an advert is clicked on showing details as follows:

Single add clicked on:
Advert Title
Advert Date
Dog Name
Price if available
Dog Photos
Video if available
Links to shows won if in db
You can display dogs' details if in db
Content (advert text description

I could ask you to add and change as we go along so you must allow for some elements to change.

The website that this feature will be added to is a dog show website that displays show results and dogs in db with detailed info so you will be able to use most of this if the dog is in db. 

The project must be completed within 7 days from proposal acceptance!

",less than 1 week,2016-09-05,Edinburgh,United Kingdom,GBP,Web Design Agency
Smooth American Narration for 2 Hours of Educational Content,Music & Audio,Expert ($$$),Voice-Over,USD,200.0,remote,ALL,fixed_price,2023-01-25 15:34:05,"Voice Region: US - American
Duration of Script: 2 Hours
Word Count: 14.4k
Required Output Format: WAC File - A separate WAV for each module. Named appropriately
Content Type: Educational about content writing & AI

Script will be provided in PDF Format

Please provide a sample of your voice with each proposal.",less than 1 week,2015-12-12,London,United Kingdom,GBP,Award Winning Full Stack Software Developer
Writer of Content-,Business,Expert ($$$),Management & Development,USD,108.0,remote,ALL,fixed_price,2023-01-25 15:08:25,"Company Truckroots LLC Writing professional content and copywriting We're looking for a highly qualified and seasoned content writer/copywriter to join our team.
The objective is to provide quality material on 14 distinct subjects (keywords) related to the trucking sector. The ideal applicant will enjoy writing and producing excellent, captivating, and sector-specific content for a range of channels, such as articles, sales advertising, blogs, and social media captions. We'll be able to agree on the topics for each piece of content we need to write and the appropriate word count, key phrase type, etc. - Conduct thorough research and produce compelling, industry-specific content for a range of channels, including as articles, blogs, sales advertising, and social media captions. - Create",,2023-01-25,New York City,United States,USD,
